Alleged deployer of AI system,risk_domain,Entity,Intent,deployer_category,developer_category,frequency,year,month,log_expected_loss
"[""st-george's-hospital-medical-school""]",1. Discrimination and Toxicity,AI,Unintentional,academic_lab,freelancer_or_individual,32,1998,3,3.7624251301922897
"[""usc-information-sciences-institute""]",5. Human-Computer Interaction,AI,Unintentional,academic_lab,academic_lab,32,2008,7,3.532477132764642
"[""google""]",3. Misinformation,AI,Unintentional,regulated_corporation,regulated_corporation,364,2011,4,5.358791362346466
"[""nest-labs""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2014,1,5.228972390475821
"[""linkedin""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,9,5.537957874467922
"[""new-zealand""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,unregulated_startup,101,2016,12,4.504761472425569
"[""youth-laboratories""]",1. Discrimination and Toxicity,AI,Unintentional,unregulated_startup,unregulated_startup,76,2016,9,4.079971702480274
"[""the-dao""]",2. Privacy & Security,Human,Intentional,open_source_community,open_source_community,7,2016,6,2.4663001131228
"[""stanford-shopping-center""]","7. AI system safety, failures, and limitations",AI,Unintentional,academic_lab,unregulated_startup,32,2016,7,3.242262626065278
"[""tesla""]",5. Human-Computer Interaction,Human,Unintentional,regulated_corporation,regulated_corporation,364,2016,7,5.202311628313143
"[""google""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,3,5.537957874467922
"[""predpol"",""oakland-police-department""]",1. Discrimination and Toxicity,AI,Unintentional,unregulated_startup,unregulated_startup,76,2015,11,4.079971702480274
"[""amazon""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,12,5.537957874467922
"[""my_handy_design""]","7. AI system safety, failures, and limitations",AI,Unintentional,unregulated_startup,freelancer_or_individual,76,2017,7,4.064508274010254
"[""australian-department-of-human-services""]","7. AI system safety, failures, and limitations",Human,Intentional,public_agency,public_agency,101,2015,7,4.5356481905260555
"[""yandex""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,10,5.537957874467922
"[""google""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,4,5.537957874467922
"[""faceapp""]",1. Discrimination and Toxicity,AI,Unintentional,unregulated_startup,unregulated_startup,76,2017,4,4.079971702480274
